latitude,id,longitude
-33.0889514,19,147.1510598
-33.1,19,147.41667
-33.1,19,151.26666
-33.1,19,151.41667
-33.1,23,151.41667
-33.1,24,147.41667
-33.1,26,151.26666
-33.1,26,151.41667
-33.1,28,151.26666
-33.1,30,151.41667
-33.1,31,151.26666
-33.1,32,151.26666
-33.1,34,147.41667
-33.1,35,151.41667
-33.1,37,147.41667
-33.1,37,151.26666
-33.1,37,151.41667
-33.1,51,148.866
-33.116665,19,150.31667
-33.116665,30,150.31667
-33.116665,31,150.31667
-33.116665,34,150.31667
-33.116665,35,150.31667
-33.133,57,148.183
-33.133335,19,151.61667
-33.133335,28,151.61667
-33.133335,35,151.61667
-33.133335,37,151.61667
-33.15,19,148.4
-33.15,30,151.58333
-33.15,31,148.4
-33.15,34,148.4
-33.15,35,148.4
-33.15,35,151.58333
-33.15,36,148.4
-33.15,37,148.4
-33.166664,19,149.58333
-33.166664,24,149.58333
-33.166664,28,149.58333
-33.166664,29,151.48332
-33.166664,34,149.58333
-33.166664,37,149.58333
-33.1667,37,151.6167
-33.2,57,138
-33.216667,19,146.36667
-33.216667,19,148.2
-33.216667,24,146.36667
-33.216667,24,148.2
-33.216667,29,148.9
-33.216667,30,148.2
-33.216667,31,148.2
-33.216667,32,146.36667
-33.216667,34,146.36667
-33.216667,35,148.2
-33.216667,36,146.36667
-33.216667,37,148.2
-33.233,57,151.283
-33.233334,19,149.63333
-33.233334,19,150.11667
-33.233334,23,149.63333
-33.233334,30,149.63333
-33.233334,31,150.11667
-33.233334,37,150.11667
-33.233334,38,150.11667
-33.25,19,141.25
-33.25,19,144.75
-33.25,19,145.08333
-33.25,19,145.41667
-33.25,19,145.58333
-33.25,19,145.91667
-33.25,19,146.08333
-33.25,19,146.25
-33.25,19,146.41667
-33.25,19,146.75
-33.25,19,146.91667
-33.25,19,147.08333
-33.25,19,147.25
-33.25,19,147.41667
-33.25,19,148.25
-33.25,19,148.58333
-33.25,19,148.75
-33.25,19,148.91667
-33.25,19,149.08333
-33.25,19,149.41667
-33.25,19,149.58333
-33.25,19,149.75
-33.25,19,149.91667
-33.25,19,150.08333
-33.25,19,150.75
-33.25,19,150.91667
-33.25,19,151.08333
-33.25,19,151.25
-33.25,19,151.41667
-33.25,21,146.41667
-33.25,21,149.41667
-33.25,21,149.75
-33.25,21,151.25
-33.25,21,151.41667
-33.25,23,146.25
-33.25,23,146.41667
-33.25,23,146.58333
-33.25,23,146.75
-33.25,23,146.91667
-33.25,23,147.08333
-33.25,23,147.25
-33.25,23,148.25
-33.25,23,149.41667
-33.25,23,149.58333
-33.25,24,141.25
-33.25,24,144.75
-33.25,24,145.08333
-33.25,24,145.58333
-33.25,24,145.91667
-33.25,24,146.08333
-33.25,24,146.25
-33.25,24,146.41667
-33.25,24,146.58333
-33.25,24,146.75
-33.25,24,146.91667
-33.25,24,147.08333
-33.25,24,147.25
-33.25,24,147.41667
-33.25,24,148.25
-33.25,24,148.75
-33.25,24,148.91667
-33.25,24,149.08333
-33.25,24,149.41667
-33.25,24,149.58333
-33.25,24,149.75
-33.25,24,149.91667
-33.25,24,151.25
-33.25,24,151.41667
-33.25,25,151.41667
-33.25,26,149.08333
-33.25,26,151.25
-33.25,26,151.41667
-33.25,28,148.25
-33.25,28,148.41667
-33.25,28,148.75
-33.25,28,148.91667
-33.25,28,149.08333
-33.25,28,149.41667
-33.25,28,149.75
-33.25,28,149.91667
-33.25,28,150.25
-33.25,28,151.25
-33.25,28,151.41667
-33.25,29,141.25
-33.25,29,144.75
-33.25,29,145.91667
-33.25,29,148.25
-33.25,29,148.91667
-33.25,29,149.08333
-33.25,29,149.41667
-33.25,29,149.58333
-33.25,29,149.75
-33.25,29,149.91667
-33.25,29,150.08333
-33.25,29,150.75
-33.25,29,150.91667
-33.25,29,151.08333
-33.25,29,151.25
-33.25,29,151.41667
-33.25,30,146.08333
